ID,Type,Medium,Title,Year,Director,Watched,AdditionalInfo,Franchise,Prequels,Sequels,FranchiseComplete,MissingParts,Runtime,Genre,Summary,Writer,Music,Cinematography,CostumeDesign,Cast
1917_2019,Movie,BluRay,1917,2019,Sam Mendes,YES,signed by Sam Mendes,NO,,,,,119,"History, War, Drama",One of the best war films I've seen. Makes you feel like you are in the trenches with gorgeous George MacKay. Also the bluray is signed by Sam Mendes 🧡,"Sam Mendes, Krysty Wilson-Cairns",Thomas Newman,Roger Deakins,"David Crossman, Jaqueline Durran","Dean-Charles Chapman, George MacKay, Colin Firth, Andrew Scott, Mark Strong, Benedict Cumberbatch, Richard Madden"
A_Beautiful_Mind_2001,Movie,DVD,A Beautiful Mind,2001,Ron Howard,NO,,NO,,,,,130,"Drama, Biography, Mystery",Won a bunch of Oscars and is about maths I think.,"Akiva Goldsman, Sylvia Nasar",James Horner,Roger Deakins,"Janet Hirshenson, Jane Jenkins","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany, Judd Hirsch, "
A_Girl_Walks_Home_Alone_At_Night_2014,Movie,BluRay,A Girl Walks Home Alone At Night,2014,Ana Lily Amirpour,NO,,NO,,,,,100,"Romance, Drama, Horror",Made by a Persian and mentioned by Cate Blanchett in an interview for Ocean's Eight as being great. Also Horror-Romance is a fun combination.,Ana Lily Amirpour,Bei Ru,Lyle Vincent,Natalie O'Brien,"Sheila Vand, Arash Marandi, Marshall Manesh"
A_Quiet_Place_2018,Movie,DVD,A Quiet Place,2018,John Krasinski,YES,,YES,,,NO,"A Quiet Place Part II, A Quiet Place: Day One",87,"Horror, SciFi, Action",John Krasinski's directorial debut with an excellent performance by Emily Blunt which won her well-deserved SAG Award. This movie is an incredible scary movie that completely teleports you into a dystopian world where any sound can kill you. So not great for Hanney.,"Bryan Woods, Scoot Beck, John Krasinski",Marco Beltrami,Charlotte Bruus Christensen,Kasia Walicka Maimone,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
A_Simple_Favor_2018,Movie,DVD,A Simple Favor,2018,Paul Feig,YES,,NO,,,,,112,"Mystery, Crime, Drama","You don't quite know where this movie is heading but its mystery, Anna Kendrick and Blake Lively's unlikely chemistry and Henry Golding make this a fun watch and I'm curious what's gonna happen in part 2.","Darcey Bell, Jessica Sharzer",Theodore Shapiro,John Schwartzman,Renee Ehrlich Kalfus,"Anna Kendrick , Blake Lively, Henry Golding, Linda Cardellini, Jean Smart"
Aladdin_2019,Movie,BluRay,Aladdin,2019,Guy Ritchie,YES,,NO,,,,,128,"Fantasy, Drama, Romance",Speechless is the central piece of this movie. The epicness of Naomi Scott's voice and Paul & Pasek's genius makes this song unforgettable. Will Smith is blue (as always) and Aladdin is hot (as always).,"John August, Guy Ritchie",Alan Menken,Alan Stewart,Michael Wilkinson,"Naomi Scott, Mena Massoud, Will Smith"
Aladin_1404,Movie,DVD,Aladin,1404,,NO,,NO,,,,,50,"Animation, Fantasy",We don't know the origin of this masterpiece of an Iranian knock-off but it is hilarious to have in the collection.,,,,,
Alf_Season_1_1988,Series,DVD,Alf [Season 1],1988,"Tom Patchett, Paul Fusco",NO,,YES,,,NO,"Alf [Season 2], Alf [Season 3], Alf [Season 4]",30,"Sitcom, Comedy, Fantasy",I watched one episode and didn't like it. I'm sure it had it's time and was funny at some point but it's just not my cup of tea.,Various Writers,,,,
Allegiant_2016,Movie,DVD,Allegiant,2016,Robert Schwentke,YES,,YES,"Divergent, Insurgent",,YES,,115,"SciFi, Action, Fantasy","Oh Allegiant. What a crazy downfall of what otherwise seemed to be a promising setup for a good teenage science fiction franchise. Allegiant is a waste of time and one of the regrets in this collection, but it has to be in there it completes the franchise.","Noah Oppenheim, Adam Cooper, Bill Collage",Joseph Trapanese,Florian Ballhaus,Marlene Stewart,"Shailene Woodley, Theo James, Naomi Watts, Octavia Spencer, Jeff Daniels, Zoë Kravitz, Ansel Elgort, Miles Teller, Bill Skarsgård, Ashley Judd, Jonny Weston"
Angels_and_Demons_2009,Movie,DVD,Angels & Demons,2009,Ron Howard,YES,,YES,The Da Vinci Code,,NO,Inferno,138,"Thriller, Drama, Mystery",I am surprised that I don't watch this movie more often and I always forget that Ewan McGregor is in it. It's a great scavenger hunt throughout beautiful Rome and gets you on the edge of your seat every time. ,"David Koepp, Akiva Goldsman, Dan Brown",Hans Zimmer,Salvatore Totino,Daniel Orlandi,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård, Pierfrancesco Favino"
Annihilation_2018,Movie,BluRay,Annihilation,2018,Alex Garland,YES,,NO,,,,,115,"SciFi, Action, Drama",One of the first Netflix productions released on Netflix I remember seeing. A great film with women at the center and beautiful VFX transporting you and leaving you in awe. Of course it's Alex Garland's genius.,"Alex Garland, Jeff VanderMeer","Geoff Barrow, Ben Salisbury",Rob Hardy,Sammy Sheldon,"Natalie Portman, Benedict Wong, Sonoya Mizuno, David Gyasi, Oscar Isaac, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson"
Aquaman_2018,Movie,DVD,Aquaman,2018,James Wan,YES,,YES,,,NO,Aquaman and the Lost Kingdom,137,"SciFi, Adventure, Drama",One of the good DC films in the era of Wonder Woman. The VFX look super cool with the hair underwater. Could be shorter though.,"David Leslie Johnson-McGoldrick, Will Beall",Rupert Gregson-Williams,Don Burgess,Kym Barret,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Nicole Kidman, Yahya Abdul-Mateen II, Julie Andrews, Djimon Hounsou, Randall Park"
Argo_2012,Movie,DVD,Argo,2012,Ben Affleck,YES,,NO,,,,,120,"Drama, Thriller, History","Controversial, but I really liked this movie. I am a sucker for credits where they compare the real people with the actors. But also it's an exciting movie and well-made so leave me alone, or should I say ""Argo f*** yourself"".","Chris Terrio, Tony Mendez, Joshuah Bearman",Alexandre Desplat,Rodrigo Prieto,Jaqueline West,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Victor Garber, Tate Donovan, Clea DuVall, Chris Messina, "
Arrival_2016,Movie,DVD,Arrival,2016,Denis Villeneuve,YES,,NO,,,,,112,"SciFi, Drama, Action","A masterpiece. Linguistics and Aliens are an unlikely combination but it all makes sense and this movie has a twist that will forever leave me with my jaw on the floor just like the first time I saw it. Villeneuve, Adams, Renner. What else do you want? Kangaroo 🤷","Eric Heisserer, Ted Chiang",Jóhann Jóhannsson,Bradford Young,Renée April,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Tzi Ma"
